longitude,latitude,median_house_value
-122.22,37.81,302100.0
-122.23,37.8,269500.0
-122.23,37.81,314700.0
-122.22,37.81,390100.0
-122.23,37.81,410300.0
-122.24,37.81,352400.0
-122.24,37.81,287300.0
-122.23,37.81,348700.0
-122.24,37.81,243800.0
-122.24,37.8,211500.0
-122.25,37.8,218400.0
-122.24,37.81,269900.0
-122.25,37.81,218800.0
-122.25,37.8,225000.0
-122.25,37.8,250000.0
-122.25,37.8,171400.0
-122.25,37.8,193800.0
-122.24,37.79,125000.0
-122.25,37.79,97500.0
-122.25,37.79,125000.0
-122.25,37.79,138800.0
-122.25,37.8,116700.0
-122.25,37.8,151800.0
-122.24,37.8,127000.0
-122.24,37.8,128600.0
-122.24,37.8,140600.0
-122.24,37.8,182700.0
-122.23,37.8,146900.0
-122.24,37.8,122800.0
-122.24,37.8,169300.0
-122.23,37.8,126600.0
-122.23,37.8,127900.0
-122.23,37.8,123500.0
-122.23,37.8,111900.0
-122.23,37.79,112800.0
-122.23,37.79,107900.0
-122.23,37.79,137500.0
-122.24,37.79,105500.0
-122.24,37.79,95500.0
-122.24,37.79,116100.0
-122.24,37.79,112200.0
-122.25,37.79,75000.0
-122.25,37.79,112500.0
-122.25,37.79,125000.0
-122.26,37.8,115000.0
-122.22,37.77,95000.0
-122.22,37.77,96400.0
-122.23,37.77,72000.0
-122.23,37.78,71300.0
-122.23,37.78,80800.0
-122.22,37.78,128800.0
-122.23,37.78,112500.0
-122.23,37.78,119400.0
-122.23,37.78,118100.0
-122.23,37.79,122500.0
-122.23,37.79,106300.0
-122.22,37.79,132500.0
-122.23,37.79,122700.0
-122.23,37.79,113300.0
-122.22,37.79,109500.0
-122.22,37.79,164700.0
-122.21,37.79,125000.0
-122.22,37.79,124700.0
-122.22,37.79,136700.0
-122.22,37.79,141700.0
-122.2,37.79,150000.0
-122.21,37.79,138800.0
-122.21,37.79,139200.0
-122.21,37.79,143800.0
-122.21,37.8,156500.0
-122.21,37.8,151000.0
-122.2,37.8,273000.0
-122.2,37.8,217100.0
-122.21,37.8,187100.0
-122.2,37.8,239600.0
-122.21,37.8,229700.0
-122.19,37.8,257300.0
-122.19,37.8,246900.0
-122.19,37.79,179900.0
-122.2,37.79,169600.0
-122.2,37.8,203300.0
-122.19,37.8,263400.0
-122.19,37.79,231800.0
-122.19,37.79,140500.0
-122.2,37.79,126000.0
-122.2,37.79,122000.0
-122.2,37.79,134700.0
-122.21,37.79,139400.0
-122.2,37.79,115400.0
-122.21,37.78,137300.0
-122.21,37.78,137000.0
-122.21,37.78,142600.0
-122.21,37.78,137500.0
-122.22,37.78,111700.0
-122.21,37.78,126800.0
-122.21,37.78,111300.0
-122.22,37.77,114800.0
-122.22,37.78,102300.0
-122.22,37.78,131900.0
-122.22,37.78,119100.0
-122.21,37.76,80600.0
-122.21,37.77,80600.0
-122.21,37.77,88800.0
-122.2,37.77,102400.0
-122.21,37.77,98700.0
-122.21,37.77,100000.0
-122.19,37.77,92300.0
-122.2,37.77,94800.0
-122.2,37.77,102000.0
-122.2,37.78,158400.0
-122.2,37.78,121600.0
-122.2,37.78,129100.0
-122.2,37.77,121400.0
-122.21,37.78,102800.0
-122.19,37.78,160000.0
-122.19,37.77,143900.0
-122.19,37.77,151200.0
-122.19,37.78,164400.0
-122.19,37.78,156500.0
-122.18,37.78,225000.0
-122.19,37.78,174200.0
-122.19,37.78,166900.0
-122.2,37.78,163500.0
-122.18,37.79,253000.0
-122.18,37.79,240700.0
-122.18,37.79,208100.0
-122.19,37.79,198100.0
-122.19,37.79,172800.0
-122.18,37.81,336700.0
-122.18,37.8,318200.0
-122.18,37.8,285800.0
-122.13,37.77,293000.0
-122.16,37.79,371000.0
-122.17,37.78,157300.0
-122.17,37.77,135300.0
-122.18,37.78,136700.0
-122.18,37.78,160700.0
-122.17,37.78,140600.0
-122.17,37.78,144000.0
-122.16,37.77,161900.0
-122.16,37.77,156300.0
-122.16,37.77,176000.0
-122.16,37.77,145800.0
-122.17,37.77,141900.0
-122.17,37.77,90700.0
-122.17,37.76,90600.0
-122.17,37.76,107900.0
-122.18,37.76,107000.0
-122.17,37.76,98200.0
-122.18,37.76,89500.0
-122.18,37.76,93800.0
-122.18,37.76,96700.0
-122.18,37.77,97500.0
-122.18,37.77,97300.0
-122.18,37.76,91200.0
-122.19,37.76,91400.0
-122.18,37.77,96200.0
-122.18,37.77,120100.0
-122.18,37.77,100000.0
-122.19,37.76,94700.0
-122.2,37.76,85700.0
-122.19,37.77,89300.0
-122.19,37.77,101400.0
-122.19,37.76,72500.0
-122.19,37.76,74100.0
-122.2,37.75,70000.0
-122.2,37.76,84600.0
-122.19,37.76,81800.0
-122.19,37.75,81400.0
-122.19,37.75,81800.0
-122.19,37.76,85800.0
-122.19,37.74,87100.0
-122.18,37.74,83500.0
-122.19,37.73,79700.0
-122.19,37.74,83400.0
-122.19,37.73,84700.0
-122.18,37.73,80000.0
-122.18,37.73,76400.0
-122.18,37.73,79700.0
-122.18,37.73,82400.0
-122.17,37.74,97700.0
-122.17,37.74,97200.0
-122.17,37.74,101600.0
-122.17,37.73,86500.0
-122.18,37.74,90500.0
-122.17,37.74,107600.0
-122.17,37.74,84200.0
-122.18,37.74,88900.0
-122.18,37.75,80700.0
-122.18,37.75,87100.0
-122.17,37.75,85100.0
-122.18,37.75,82000.0
-122.19,37.75,82800.0
-122.18,37.75,84600.0
-122.18,37.75,82100.0
-122.17,37.76,89300.0
-122.17,37.75,98300.0
-122.17,37.75,92300.0
-122.17,37.75,88800.0
-122.17,37.75,90000.0
-122.16,37.76,95500.0
-122.16,37.75,91700.0
-122.17,37.75,100400.0
-122.17,37.76,94800.0
-122.16,37.76,164300.0
-122.16,37.76,155500.0
-122.15,37.76,196900.0
-122.14,37.77,279100.0
-122.14,37.76,252800.0
-122.13,37.76,275400.0
-122.12,37.75,250000.0
-122.12,37.75,329800.0
-122.14,37.75,195500.0
-122.14,37.75,255900.0
-122.13,37.75,311100.0
-122.13,37.75,330000.0
-122.13,37.74,248900.0
-122.16,37.75,142900.0
-122.15,37.75,126300.0
-122.15,37.75,135800.0
-122.15,37.74,130600.0
-122.16,37.75,107900.0
-122.16,37.75,111100.0
-122.15,37.74,122000.0
-122.15,37.74,118000.0
-122.16,37.75,95200.0
-122.16,37.75,94300.0
-122.17,37.74,92500.0
-122.17,37.75,91800.0
-122.16,37.74,109400.0
-122.16,37.74,129500.0
-122.16,37.74,143400.0
-122.16,37.74,98200.0
-122.16,37.74,103100.0
-122.29,37.9,276800.0
-122.29,37.9,270900.0
-122.29,37.89,246200.0
-122.3,37.9,224200.0
-122.29,37.89,229100.0
-122.3,37.89,211600.0
-122.3,37.9,256100.0
-122.3,37.89,206300.0
-122.3,37.89,221300.0
-122.33,37.89,207400.0
-122.34,37.88,350000.0
-122.29,37.89,218200.0
-122.29,37.88,216700.0
-122.29,37.89,270600.0
-122.29,37.89,261400.0
-122.28,37.88,261300.0
-122.29,37.89,232200.0
-122.27,37.9,375400.0
-122.26,37.9,357300.0
-122.27,37.9,374400.0
-122.27,37.9,358800.0
-122.27,37.9,417500.0
-122.27,37.89,430500.0
-122.28,37.9,362900.0
-122.28,37.9,397000.0
-122.28,37.9,346800.0
-122.28,37.89,327100.0
-122.28,37.89,290100.0
-122.28,37.89,292000.0
-122.28,37.89,270900.0
-122.27,37.89,371100.0
-122.27,37.89,335600.0
-122.26,37.9,371300.0
-122.25,37.89,344000.0
-122.26,37.89,342200.0
-122.26,37.89,370900.0
-122.25,37.89,350000.0
-122.25,37.89,368600.0
-122.26,37.88,391800.0
-122.26,37.88,415300.0
-122.27,37.88,284900.0
-122.27,37.88,287500.0
-122.27,37.88,272900.0
-122.28,37.88,259600.0
-122.28,37.88,254500.0
-122.28,37.88,235600.0
-122.29,37.88,218400.0
-122.29,37.88,229200.0
-122.29,37.88,192100.0
-122.29,37.88,179300.0
-122.3,37.88,187500.0
-122.3,37.88,138800.0
-122.3,37.87,150000.0
-122.3,37.86,140600.0
-122.29,37.85,120000.0
-122.3,37.88,144800.0
-122.3,37.87,144800.0
-122.28,37.88,245500.0
-122.28,37.87,200000.0
-122.28,37.87,173700.0
-122.29,37.87,185600.0
-122.29,37.87,182600.0
-122.28,37.88,227900.0
-122.28,37.87,220700.0
-122.28,37.87,212000.0
-122.27,37.88,271400.0
-122.27,37.87,268800.0
-122.27,37.88,277800.0
-122.26,37.88,332500.0
-122.26,37.88,338900.0
-122.26,37.88,287500.0
-122.25,37.87,384600.0
-122.25,37.87,371400.0
-122.25,37.87,350000.0
-122.25,37.87,500001.0
-122.26,37.87,175000.0
-122.26,37.87,241700.0
-122.27,37.87,216700.0
-122.27,37.87,211300.0
-122.27,37.87,210200.0
-122.28,37.86,196400.0
-122.28,37.87,191700.0
-122.28,37.87,182300.0
-122.29,37.87,175000.0
-122.29,37.87,165900.0
-122.29,37.86,156900.0
-122.28,37.86,164300.0
-122.29,37.87,150000.0
-122.29,37.86,150500.0
-122.28,37.86,169900.0
-122.28,37.86,147400.0
-122.28,37.85,152700.0
-122.27,37.86,182700.0
-122.28,37.86,179300.0
-122.28,37.86,157700.0
-122.28,37.86,153100.0
-122.27,37.86,250000.0
-122.27,37.86,206300.0
-122.27,37.86,218800.0
-122.27,37.86,198200.0
-122.26,37.86,253600.0
-122.26,37.86,257400.0
-122.26,37.86,289500.0
-122.26,37.86,241700.0
-122.25,37.86,489600.0
-122.25,37.86,446200.0
-122.25,37.86,456300.0
-122.25,37.86,336800.0
-122.24,37.86,500001.0
-122.24,37.85,500001.0
-122.25,37.86,376900.0
-122.26,37.85,309600.0
-122.27,37.85,182300.0
-122.27,37.85,172700.0
-122.27,37.85,150800.0
-122.27,37.85,153600.0
-122.27,37.85,106300.0
-122.27,37.85,142300.0
-122.28,37.85,119400.0
-122.28,37.85,147900.0
-122.28,37.85,132900.0
-122.29,37.84,132500.0
-122.28,37.83,126900.0
-122.3,37.84,143800.0
-122.23,37.83,500001.0
-122.22,37.82,500001.0
-122.22,37.82,500001.0
-122.23,37.82,500001.0
-122.23,37.82,466100.0
-122.23,37.82,500001.0
-122.24,37.83,457800.0
-122.24,37.83,471600.0
-122.23,37.82,500001.0
-122.24,37.82,398600.0
-122.25,37.82,340700.0
-122.23,37.76,289900.0
-122.23,37.76,335300.0
-122.23,37.76,333000.0
-122.24,37.77,241000.0
-122.23,37.77,189600.0
-122.24,37.77,206300.0
-122.25,37.77,215700.0
-122.25,37.77,210200.0
-122.25,37.77,208800.0
-122.25,37.77,197900.0
-122.26,37.78,201300.0
-122.26,37.78,190800.0
-122.27,37.78,207900.0
-122.27,37.78,215300.0
-122.27,37.78,212900.0
-122.27,37.78,292700.0
-122.28,37.79,275000.0
-122.3,37.77,200000.0
-122.28,37.78,173400.0
-122.29,37.78,102200.0
-122.28,37.77,220800.0
-122.28,37.77,242800.0
-122.29,37.76,265400.0
-122.28,37.78,219000.0
-122.26,37.77,282100.0
-122.27,37.77,372000.0
-122.27,37.77,225800.0
-122.27,37.77,220800.0
-122.27,37.77,234500.0
-122.25,37.77,254200.0
-122.26,37.77,351800.0
-122.26,37.77,275000.0
-122.26,37.77,405400.0
-122.26,37.77,228100.0
-122.26,37.77,234000.0
-122.24,37.77,162500.0
-122.25,37.77,243400.0
-122.23,37.76,273800.0
-122.23,37.76,248500.0
-122.24,37.76,244000.0
-122.24,37.76,240900.0
-122.23,37.76,306300.0
-122.23,37.75,240000.0
-122.24,37.75,247100.0
-122.24,37.75,286600.0
-122.24,37.76,266700.0
-122.24,37.76,229800.0
-122.24,37.76,229300.0
-122.24,37.73,228400.0
-122.25,37.74,206200.0
-122.24,37.72,350700.0
-122.27,37.73,231000.0
-122.25,37.76,252900.0
-122.27,37.74,353900.0
-122.27,37.77,291700.0
-122.28,37.75,100000.0
-122.06,37.77,341600.0
-122.06,37.73,412500.0
-122.06,37.71,248600.0
-122.07,37.71,254900.0
-122.07,37.71,241500.0
-122.07,37.72,295200.0
-122.08,37.72,340400.0
-122.08,37.72,274700.0
-122.08,37.71,238600.0
-122.09,37.71,266400.0
-122.1,37.72,330200.0
-122.11,37.71,206800.0
-122.1,37.7,209200.0
-122.1,37.69,195800.0
-122.09,37.71,253500.0
-122.09,37.7,241800.0
-122.1,37.71,252500.0
-122.09,37.7,263900.0
-122.08,37.71,227000.0
-122.08,37.71,220900.0
-122.08,37.7,259300.0
-122.07,37.7,232500.0
-122.06,37.7,231600.0
-122.06,37.7,209400.0
-122.07,37.7,223200.0
-122.08,37.7,209900.0
-122.09,37.7,208200.0
-122.07,37.69,203800.0
-122.08,37.69,195700.0
-122.07,37.69,190500.0
-122.08,37.69,181000.0
-122.08,37.69,184900.0
-122.08,37.68,190800.0
-122.08,37.68,242200.0
-122.09,37.69,188300.0
-122.15,37.74,183500.0
-122.14,37.74,204200.0
-122.14,37.73,251900.0
-122.15,37.74,187500.0
-122.16,37.73,198200.0
-122.15,37.74,219000.0
-122.15,37.73,275000.0
-122.15,37.73,245400.0
-122.17,37.73,177500.0
-122.16,37.73,171600.0
-122.17,37.73,183300.0
-122.16,37.73,175000.0
-122.18,37.72,156700.0
-122.18,37.71,157500.0
-122.17,37.71,179800.0
-122.18,37.7,205500.0
-122.18,37.7,178900.0
-122.19,37.71,262500.0
-122.17,37.72,165000.0
-122.17,37.72,159700.0
-122.17,37.72,158300.0
-122.16,37.72,144800.0
-122.17,37.72,166300.0
-122.16,37.71,191000.0
-122.16,37.71,175000.0
-122.16,37.72,137500.0
-122.15,37.73,141700.0
-122.15,37.72,210900.0
-122.15,37.72,198300.0
-122.15,37.72,157400.0
-122.14,37.73,264700.0
-122.14,37.73,218400.0
-122.14,37.73,235100.0
-122.13,37.73,341800.0
-122.13,37.72,367300.0
-122.13,37.72,243500.0
-122.12,37.71,167900.0
-122.13,37.72,371200.0
-122.14,37.72,218900.0
-122.14,37.72,202700.0
-122.13,37.72,186200.0
-122.13,37.71,188900.0
-122.13,37.71,180000.0
-122.15,37.71,202700.0
-122.14,37.71,181700.0
-122.14,37.71,166800.0
-122.13,37.7,183700.0
-122.13,37.7,218000.0
-122.15,37.71,191500.0
-122.15,37.7,194700.0
-122.14,37.7,187200.0
-122.13,37.7,223100.0
-122.13,37.69,271300.0
-122.14,37.7,194100.0
-122.16,37.7,190400.0
-122.14,37.69,189100.0
-122.15,37.69,184600.0
-122.15,37.69,197300.0
-122.15,37.7,192600.0
-122.16,37.69,192200.0
-122.16,37.7,194600.0
-122.16,37.7,193500.0
-122.17,37.7,202600.0
-122.16,37.68,83300.0
-122.17,37.69,212600.0
-122.18,37.68,187800.0
-122.16,37.69,205700.0
-122.15,37.69,192900.0
-122.15,37.68,205200.0
-122.15,37.68,213400.0
-122.15,37.69,183600.0
-122.14,37.69,178400.0
-122.14,37.68,219200.0
-122.14,37.68,183100.0
-122.1,37.69,157100.0
-122.12,37.69,157800.0
-122.13,37.69,161700.0
-122.12,37.71,152100.0
-122.12,37.7,144900.0
-122.12,37.7,179900.0
-122.12,37.69,179100.0
-122.12,37.7,159900.0
-122.11,37.7,161400.0
-122.11,37.7,170400.0
-122.11,37.7,137500.0
-122.1,37.69,178400.0
-122.11,37.69,155200.0
-122.11,37.69,160900.0
-122.12,37.69,167300.0
-122.03,37.69,340000.0
-121.97,37.64,431000.0
-122.02,37.63,301100.0
-122.04,37.63,241900.0
-122.05,37.63,162500.0
-122.04,37.66,299200.0
-122.04,37.65,315500.0
-122.05,37.68,216800.0
-122.07,37.68,218100.0
-122.06,37.68,170300.0
-122.08,37.68,275000.0
-122.08,37.68,184100.0
-122.08,37.67,160000.0
-122.09,37.67,175000.0
-122.09,37.68,197500.0
-122.09,37.69,150000.0
-122.09,37.68,205600.0
-122.09,37.68,170300.0
-122.09,37.68,190900.0
-122.1,37.68,196900.0
-122.1,37.68,174000.0
-122.11,37.68,170200.0
-122.1,37.68,180900.0
-122.1,37.67,150500.0
-122.1,37.68,167100.0
-122.12,37.68,148900.0
-122.12,37.68,196400.0
-122.12,37.68,191100.0
-122.11,37.67,187500.0
-122.12,37.68,180600.0
-122.13,37.68,182800.0
-122.13,37.68,179300.0
-122.13,37.68,179400.0
-122.14,37.68,210300.0
-122.14,37.67,192300.0
-122.15,37.67,198100.0
-122.14,37.67,196200.0
-122.13,37.67,181600.0
-122.14,37.67,186900.0
-122.14,37.67,188300.0
-122.13,37.67,184000.0
-122.12,37.67,184700.0
-122.13,37.67,179900.0
-122.11,37.67,167200.0
-122.11,37.67,165400.0
-122.09,37.67,154000.0
-122.09,37.67,153500.0
-122.09,37.66,135400.0
-122.09,37.66,158300.0
-122.05,37.68,240700.0
-122.06,37.67,180700.0
-122.07,37.67,230600.0
-122.07,37.67,210800.0
-122.07,37.67,165300.0
-122.04,37.67,254200.0
-122.04,37.67,332600.0
-122.04,37.66,350000.0
-122.07,37.66,161200.0
-122.07,37.66,179300.0
-122.08,37.66,154300.0
-122.07,37.65,161800.0
-122.08,37.65,161900.0
-122.08,37.65,165400.0
-122.08,37.66,166600.0
-122.1,37.66,149700.0
-122.1,37.66,162100.0
-122.1,37.66,152600.0
-122.09,37.65,195200.0
-122.09,37.65,190600.0
-122.09,37.65,193800.0
-122.1,37.66,200600.0
-122.11,37.66,150000.0
-122.1,37.66,185300.0
-122.11,37.66,172700.0
-122.11,37.66,174100.0
-122.1,37.65,194400.0
-122.1,37.64,206700.0
-122.1,37.65,204500.0
-122.1,37.65,175000.0
-122.12,37.65,137500.0
-122.1,37.63,187200.0
-122.1,37.61,173600.0
-122.13,37.66,163000.0
-122.11,37.65,331600.0
-122.11,37.64,197600.0
-122.11,37.64,197900.0
-122.12,37.64,228100.0
-122.09,37.63,189500.0
-122.09,37.64,184200.0
-122.1,37.63,180900.0
-122.08,37.64,172000.0
-122.08,37.64,177900.0
-122.09,37.64,173100.0
-122.09,37.64,172600.0
-122.08,37.64,182100.0
-122.08,37.64,179500.0
-122.08,37.63,176000.0
-122.08,37.63,192600.0
-122.08,37.64,182700.0
-122.07,37.64,134900.0
-122.07,37.63,157600.0
-122.07,37.64,190900.0
-122.06,37.64,158200.0
-122.06,37.64,350000.0
-122.06,37.65,158200.0
-122.06,37.64,146100.0
-122.04,37.63,226700.0
-122.03,37.62,198700.0
-122.03,37.62,221200.0
-122.04,37.62,208500.0
-122.04,37.62,204200.0
-122.04,37.62,193200.0
-122.03,37.62,209500.0
-122.03,37.61,164900.0
-122.03,37.61,161400.0
-122.04,37.61,187000.0
-122.04,37.62,190400.0
-122.08,37.63,156600.0
-122.08,37.62,157300.0
-122.07,37.63,168100.0
-122.07,37.63,177600.0
-122.06,37.63,208900.0
-122.06,37.63,169200.0
-122.05,37.61,163900.0
-122.08,37.63,164700.0
-122.08,37.63,156900.0
-122.09,37.63,168800.0
-122.09,37.63,174100.0
-122.08,37.62,206500.0
-122.08,37.61,203900.0
-121.99,37.61,217000.0
-122.02,37.6,159600.0
-122.02,37.6,159800.0
-122.02,37.6,154300.0
-122.02,37.6,149600.0
-122.03,37.61,188600.0
-122.04,37.6,238500.0
-122.06,37.6,235300.0
-122.08,37.61,261400.0
-122.06,37.6,234400.0
-122.06,37.6,231700.0
-122.08,37.59,156300.0
-122.07,37.59,222000.0
-122.08,37.58,254400.0
-122.07,37.58,244300.0
-122.07,37.58,247000.0
-122.08,37.58,236500.0
-122.07,37.59,151400.0
-122.07,37.58,213700.0
-122.04,37.59,243600.0
-122.05,37.59,212500.0
-122.03,37.6,214700.0
-122.02,37.59,213200.0
-122.03,37.59,256000.0
-122.01,37.59,237500.0
-122.02,37.58,178100.0
-122.01,37.58,231800.0
-122.09,37.6,147900.0
-122.08,37.6,191700.0
-121.97,37.57,247600.0
-121.96,37.58,283500.0
-121.98,37.58,216900.0
-121.99,37.58,282500.0
-122.0,37.58,295600.0
-122.01,37.57,281800.0
-122.04,37.58,269800.0
-122.04,37.57,231200.0
-122.07,37.57,318300.0
-122.06,37.58,253400.0
-122.05,37.57,278200.0
-121.93,37.49,300000.0
-122.07,37.52,273500.0
-122.02,37.56,223400.0
-122.02,37.56,214500.0
-122.03,37.56,220200.0
-122.03,37.56,240300.0
-122.01,37.56,158000.0
-122.01,37.55,224200.0
-122.02,37.55,177200.0
-122.01,37.56,216100.0
-121.99,37.56,269700.0
-121.99,37.56,231200.0
-121.96,37.55,162500.0
-121.97,37.56,254000.0
-121.97,37.54,196200.0
-121.97,37.55,189400.0
-121.98,37.54,220800.0
-121.99,37.55,213800.0
-121.94,37.56,442900.0
-121.95,37.55,333400.0
-121.93,37.54,352400.0
-121.94,37.54,305300.0
-121.94,37.53,259600.0
-121.95,37.54,248900.0
-121.94,37.54,356000.0
-121.96,37.54,236000.0
-121.96,37.53,218800.0
-121.96,37.53,228000.0
-121.96,37.53,235900.0
-121.97,37.54,203200.0
-121.97,37.53,197000.0
-121.97,37.53,236400.0
-121.98,37.53,223200.0
-121.98,37.53,222700.0
-121.99,37.54,225000.0
-121.99,37.54,240100.0
-121.99,37.54,227900.0
-121.99,37.55,268600.0
-122.0,37.54,275100.0
-122.01,37.55,256300.0
-122.0,37.55,332400.0
-122.01,37.54,287600.0
-122.0,37.54,298900.0
-122.01,37.53,287600.0
-121.99,37.53,222200.0
-121.97,37.52,232600.0
-121.97,37.51,258300.0
-121.97,37.52,230900.0
-121.95,37.52,196900.0
-121.96,37.51,223500.0
-121.96,37.52,223900.0
-121.93,37.53,243500.0
-121.92,37.53,451100.0
-121.89,37.49,500001.0
-121.92,37.49,193100.0
-121.92,37.48,264400.0
-121.92,37.47,246900.0
-121.91,37.47,337300.0
-122.03,37.55,284800.0
-122.03,37.55,217300.0
-122.04,37.55,291700.0
-122.04,37.54,223800.0
-122.05,37.54,223100.0
-122.05,37.55,211300.0
-122.04,37.53,218500.0
-122.04,37.5,156300.0
-122.06,37.54,248200.0
-122.03,37.54,186000.0
-122.03,37.54,178200.0
-122.04,37.53,190400.0
-122.02,37.54,210300.0
-122.03,37.54,208000.0
-122.03,37.53,183300.0
-122.01,37.53,245700.0
-122.02,37.53,242200.0
-122.0,37.51,181700.0
-121.92,37.72,299400.0
-121.92,37.72,219500.0
-121.91,37.71,231800.0
-121.93,37.72,221300.0
-121.93,37.72,213800.0
-121.93,37.71,206000.0
-121.94,37.71,271100.0
-121.96,37.71,336500.0
-121.92,37.64,315600.0
-121.93,37.66,500001.0
-121.92,37.69,285400.0
-121.9,37.66,323000.0
-121.92,37.68,291900.0
-121.93,37.7,225600.0
-121.91,37.69,259600.0
-121.91,37.68,262900.0
-121.91,37.68,257300.0
-121.91,37.69,259200.0
-121.89,37.68,339700.0
-121.88,37.68,337200.0
-121.89,37.68,334100.0
-121.88,37.67,311500.0
-121.88,37.67,296900.0
-121.89,37.67,247900.0
-121.89,37.67,300400.0
-121.9,37.67,332400.0
-121.9,37.67,389800.0
-121.88,37.66,233000.0
-121.87,37.66,238500.0
-121.87,37.66,233300.0
-121.89,37.66,231300.0
-121.88,37.64,475800.0
-121.87,37.57,393200.0
-121.87,37.67,247200.0
-121.87,37.67,229400.0
-121.85,37.68,282500.0
-121.85,37.66,300600.0
-121.86,37.66,293200.0
-121.87,37.66,278500.0
-121.84,37.66,352900.0
-121.85,37.72,400000.0
-121.82,37.73,375000.0
-121.86,37.7,313700.0
-121.89,37.69,139300.0
-121.77,37.65,327500.0
-121.62,37.61,430600.0
-121.61,37.77,125000.0
-121.72,37.7,450000.0
-121.73,37.71,200200.0
-121.75,37.71,192400.0
-121.77,37.74,418800.0
-121.8,37.7,216800.0
