Frequency,Monetary,Cluster
30,-5.68434e-14,3
90,2466.86,3
129,3153.89,3
67,1912.74,3
38,947.4,3
35,826.88,3
72,1124.01,3
88,1303.63,3
29,1212.05,3
50,728.85,3
40,724.04,3
531,18740.9,0
387,6213.33,1
178,2843.67,3
456,7114.19,1
36,723.38,3
262,6531.46,1
306,12712,1
36,680.99,3
34,457.5,3
154,3281.63,1
218,5590.86,1
81,2327.13,3
342,4446.01,1
55,1298.66,3
15,334.93,3
245,5417.93,1
26,460.4,3
20,263.21,3
23,416.79,3
83,1126.75,3
14,1043.1,3
23,403.7,3
65,4206.27,1
157,2074.23,3
145,3691.32,1
1,-1126,3
15,114,3
1,-4.5,3
23,73.5,3
23,1258.06,3
69,398.27,3
7,176.5,3
33,982.57,3
34,138.03,3
36,586.79,3
51,1017.68,3
16,383.7,3
26,1312.06,3
285,2458.14,3
123,2051.85,3
18,340.84,3
147,2498.99,3
38,599.68,3
12,192.72,3
110,1745.57,3
144,4485.72,1
71,1316.66,3
18,348.71,3
95,1922.28,3
67,1618.59,3
17,125.22,3
16,349.83,3
63,1089.18,3
34,716.35,3
273,4106.82,1
21,363.95,3
274,3852.5,1
477,13273.3,1
52,981.18,3
20,355.7,3
50,1000.39,3
70,1141.5,3
8,207.8,3
5,95.2,3
57,964.83,3
10,168,3
19,418.02,3
192,3613.13,1
119,594.35,3
33,11991,1
22,2.66454e-14,3
22,536.21,3
111,2101.39,3
16,238.85,3
168,3781.74,1
21,456.9,3
10,131.17,3
20,346.7,3
462,9105.04,1
189,4025.39,1
34,519.61,3
62,1004.72,3
27,155.5,3
11,218.45,3
88,1287.18,3
146,594.1,3
120,2753.36,3
31,410.72,3
24,415.7,3
15,197.71,3
22,511.36,3
251,7187.34,1
123,1834.55,3
97,1982.81,3
12,179.94,3
4,144,3
10,214.9,3
34,636.68,3
70,9861.38,1
26,452.85,3
18,437.6,3
21,418.1,3
119,3320.22,1
27,618.27,3
214,3683.13,1
133,3002.68,3
62,1032.58,3
65,2581.04,3
29,569.56,3
12,153.12,3
3,739.2,3
16,254.18,3
3,-7.5,3
202,3.33955e-13,3
59,1103.45,3
111,2057.99,3
65,1193.32,3
21,643.59,3
162,3213.94,3
20,315.6,3
105,2291.19,3
36,657.25,3
42,355.53,3
11,177.31,3
94,3209.77,3
90,1296.21,3
474,13612.1,1
11,180.1,3
18,305.1,3
38,641.13,3
90,2609.28,3
307,6388.35,1
230,4478.53,1
43,769.61,3
62,1233.38,3
31,640.5,3
102,2131.27,3
101,1689.18,3
392,5933.36,1
38,662.33,3
22,486.1,3
53,1174.58,3
10,185.9,3
47,1013.26,3
24,3344.64,1
31,477.91,3
74,1755.38,3
45,1346.97,3
128,3669.92,1
21,318.05,3
33,603.71,3
20,314.44,3
9,114,3
50,896.83,3
42,2189.45,3
38,601.98,3
130,3982.72,1
56,1152.06,3
36,686.05,3
5,91.68,3
13,245.1,3
232,3817.08,1
38,4863.88,1
4,61.75,3
2,-227.44,3
33,620.13,3
167,3734.78,1
102,1607.73,3
94,2986.15,3
10,225.9,3
40,590.12,3
91,1919.31,3
45,1331.39,3
167,17588.3,0
56,1058.67,3
52,862.81,3
644,13667.5,1
525,12288.2,1
361,8216.05,1
105,2283.63,3
157,2863.08,3
7,89.14,3
169,4853.81,1
72,1247.61,3
16,389.01,3
32,1035.8,3
41,830.96,3
37,869.67,3
27,582.1,3
43,939.02,3
270,4867.99,1
53,797.71,3
12,219,3
22,274.7,3
90,2220.84,3
347,6809.2,1
33,603.42,3
173,2596.52,3
256,9192.1,1
78,1125.53,3
142,4241.63,1
37,843.51,3
257,4701.54,1
21,353.86,3
69,1053.49,3
56,980.98,3
18,233.21,3
42,608.1,3
358,5708.24,1
163,2623.94,3
57,904.33,3
69,725.07,3
53,1031.41,3
24,427.8,3
124,2609.1,3
140,3942.66,1
46,836.33,3
26,453.01,3
276,18788.4,0
12,236.26,3
22,383.95,3
3,102,3
43,779.57,3
4,234,3
11,155.35,3
38,1013.04,3
27,427.6,3
132,543.29,3
228,9054.69,1
103,4196.01,1
4609,28734.4,0
229,3822.9,1
15,275.88,3
53,4366.78,1
223,20304.5,0
65,2949.12,3
6,2203.2,3
4,112.08,3
377,4227.7,1
96,2781.51,3
95,1531.44,3
68,1873.32,3
17,489.04,3
45,1693.88,3
309,6969.83,1
32,1143.6,3
12,1351.45,3
54,872.67,3
67,1351.24,3
51,804.23,3
159,3868.7,1
30,707.72,3
106,2253.52,3
86,1603.87,3
59,574.42,3
15,305.71,3
20,463.66,3
4,91.85,3
21,324.92,3
2,192.6,3
25,400.54,3
24,545.48,3
45,860.41,3
14,430.48,3
17,194.18,3
8,6977.04,1
25,407.54,3
28,483.65,3
26,484.36,3
31,514.85,3
15,229.64,3
2,125.92,3
47,1063.46,3
29,572.2,3
4,166.04,3
16,1517.88,3
59,942.34,3
6,92.72,3
47,918.98,3
5,1759.5,3
24,392.08,3
94,1468.12,3
25,430.15,3
55,988.71,3
12,253.05,3
39,6748.4,1
9,215.05,3
27,383.03,3
24,417.38,3
18,312.38,3
173,2597.74,3
12,134.1,3
121,681.83,3
314,5573.54,1
116,2714.27,3
438,3862.9,1
33,1053.29,3
100,1678.16,3
52,325.96,3
26,349.14,3
88,848.14,3
49,1011.29,3
50,135.18,3
20,299.75,3
84,1881.7,3
111,1272.9,3
3,38.1,3
316,2152.6,3
46,1106.4,3
6,504.2,3
3,147.12,3
96,1548.07,3
26,559.12,3
547,3960.6,1
106,1602.02,3
2,-14.9,3
11,380.64,3
65,595.02,3
4,374,3
2,343.23,3
85,2218.02,3
150,1532.87,3
49,841.64,3
12,552.57,3
7,298,3
13,1463.04,3
42,703.47,3
7,309.05,3
72,1158.27,3
86,1351.09,3
7,313.77,3
82,380.47,3
3,331,3
34,188.14,3
24,347.3,3
4,216.5,3
125,16293.1,0
10,138.68,3
72,509.58,3
63,2919.81,3
4,246,3
94,2094.18,3
75,3075.04,3
24,1662.3,3
49,2443.13,3
22,363.65,3
109,2982.35,3
2,594,3
52,1301.44,3
28,164.23,3
741,16389.7,0
28,405.38,3
29,176.97,3
31,929.95,3
45,694.05,3
84,2062.7,3
9,105.1,3
27,409.9,3
102,33462.8,0
107,606.28,3
130,2156.45,3
63,1012.9,3
120,1504.27,3
9,114.14,3
47,11581.8,1
103,876.29,3
75,683.9,3
1,-3.75,3
30,604.51,3
23,462.95,3
102,1396.79,3
118,2053.7,3
216,4117.34,1
23,1843,3
64,1037.03,3
80,1382.84,3
17,329.85,3
183,4734.26,1
19,108.07,3
241,3932.24,1
16,266.39,3
96,1841.03,3
109,771.91,3
10,160.18,3
33,1194.75,3
5,135.95,3
150,447.56,3
308,10930.3,1
8,144.8,3
22,738.6,3
6,37.29,3
24,7092.06,1
20,372.22,3
30,327.31,3
4,97.5,3
77,1168.22,3
30,545,3
92,535.32,3
68,6854.51,1
13,409.5,3
31,503.76,3
27,414.76,3
73,902.22,3
5,200.72,3
67,1197.94,3
28,455.88,3
1,12,3
1,3,3
1,2,3
1,12,3
1,1,3
31,534.85,3
336,9696.82,1
6,101.15,3
6,149.05,3
407,5582.59,1
29,468.95,3
4,81.57,3
13,138.87,3
3,50.55,3
106,1299.02,3
220,4747.39,1
124,3365.43,1
176,3346.28,1
47,789.89,3
1,204,3
456,7258.11,1
133,2561.9,3
40,689.9,3
42,906.15,3
26,6912,1
46,636.28,3
10,1247.5,3
99,799.48,3
75,996.52,3
11,190.55,3
37,642.77,3
30,886.63,3
44,818.67,3
28,908.46,3
43,676.99,3
14,471.57,3
29,508.63,3
18,305.28,3
33,609.31,3
190,2985.5,3
137,1805.91,3
14,656.68,3
422,5684.61,1
18,348.15,3
78,1201.96,3
8,271.4,3
8,183.4,3
15,307.53,3
10,248.61,3
10,333.48,3
67,1104.64,3
14,205.86,3
49,430.9,3
15,115.46,3
2,344,3
466,3691.82,1
9,228.8,3
7,177.15,3
22,919.61,3
111,725.52,3
376,12427.7,1
6,220.1,3
5,48.72,3
1055,27924.2,0
75,3595.48,1
18,303.75,3
29,272.38,3
1832,57021.3,4
161,8689.39,1
23,304.22,3
26,459.83,3
166,7721.31,1
30,1708.86,3
6,74.4,3
426,5787.39,1
599,28576.8,0
1,207.36,3
8,101.19,3
310,6336.29,1
8,243.94,3
20,1098.48,3
2,59.5,3
59,1513.99,3
10,350.06,3
49,757.48,3
144,1446.27,3
280,10510,1
132,2205.63,3
30,480.15,3
76,984.91,3
82,1125,3
1,30.6,3
53,254.73,3
55,922.39,3
233,3837.08,1
138,1955.79,3
15,259.17,3
2,64,3
46,1039.3,3
3,77.3,3
7,109.8,3
105,1740.63,3
1,3096,3
139,2545.38,3
704,3604.43,1
63,962.39,3
174,5055.79,1
46,423.72,3
136,2385.8,3
23,307.09,3
3,110.95,3
7,614.77,3
16,183.91,3
4,712.8,3
345,3334.08,1
86,1676.06,3
75,1250.37,3
15,486.22,3
1,-611.86,3
84,966.72,3
89,1721.57,3
77,1178.2,3
121,1374.71,3
4,91.8,3
8,112.75,3
77,1538.19,3
42,1021.48,3
42,414.7,3
61,744.53,3
131,1275.04,3
13,712.88,3
29,101.97,3
48,426.81,3
43,353.65,3
308,2809.23,3
72,492.84,3
17,282.45,3
265,5725.47,1
11,121.18,3
91,3948.68,1
181,1623.71,3
1,71.4,3
82,1507.29,3
37,236.02,3
2,114.6,3
26,226.48,3
62,896.34,3
29,117.88,3
3,60.7,3
106,1777.62,3
228,3373.89,1
120,9803.96,1
46,870.09,3
56,864.9,3
8,250.26,3
148,1194.35,3
326,5796.91,1
22,353.48,3
56,1197.42,3
142,775.9,3
91,1513.39,3
5,333.74,3
7,133.62,3
5,62.64,3
21,819.29,3
66,847.41,3
5,163.2,3
109,2150.85,3
33,5514.24,1
16,108.21,3
9,257.7,3
2,358,3
10,160.95,3
608,2737.77,3
205,1332.85,3
40,535.76,3
58,91.27,3
39,727.27,3
32,680.83,3
20,282.76,3
67,663.65,3
13,270.4,3
58,600.07,3
27,121.74,3
16,430.5,3
142,1915.5,3
25,501.12,3
25,442.28,3
23,711.41,3
36,1030.4,3
14,390.66,3
1,0,3
38,698.58,3
87,292.32,3
8,557.62,3
9,944.1,3
11,200.29,3
1641,7373.42,1
90,2092.06,3
202,3717.67,1
223,4366.19,1
441,3136.14,3
319,5314.67,1
1,590,3
101,178.26,3
15,276.56,3
16,138.98,3
30,590.93,3
8,258.4,3
46,542.73,3
11,126.3,3
85,814.86,3
40,1047.84,3
7,93.66,3
14,196.15,3
187,2709.12,3
42,361.11,3
31,578.94,3
54,873.74,3
11,197.95,3
5,87.4,3
59,2089.85,3
2,360,3
5,142.5,3
22,365.29,3
81,618.09,3
1,63.75,3
21,300.42,3
81,2000.86,3
1,15,3
57,1367.61,3
107,1456.79,3
77,1083.63,3
26,598.57,3
78,1555.32,3
69,551.54,3
87,5810.45,1
135,2140.07,3
20,640.76,3
499,10653.8,1
110,1491.7,3
11,567.36,3
25,199.48,3
21,787.85,3
77,7072.8,1
12,675.3,3
109,3617.57,1
17,1308.48,3
19,740.4,3
53,1140.93,3
21,350.9,3
265,3497.97,1
51,795.12,3
24,431.82,3
53,840.32,3
134,10736.5,1
41,756.05,3
22,303.93,3
119,2543.72,3
22,377.6,3
8,341.36,3
14,233.76,3
16,247.32,3
43,910.72,3
16,373.94,3
27,389.28,3
51,743.53,3
32,674.7,3
42,768.24,3
87,592.4,3
29,439.03,3
24,431.26,3
169,3085.49,3
60,992.5,3
20,2.13163e-14,3
132,2191.22,3
1,56.16,3
29,623.4,3
19,263.75,3
44,721.32,3
23,378.64,3
158,3312.25,1
38,772.9,3
53,1019.76,3
96,567.52,3
162,3439.61,1
15,222.99,3
155,4122.28,1
34,529.53,3
36,627.15,3
51,797.96,3
13,544.08,3
1,59.8,3
163,2302.6,3
21,307.72,3
46,1290.61,3
39,1539.18,3
26,457.34,3
35,603.83,3
3,75,3
11,252.49,3
27,572.451,3
497,27447.1,0
30,988.91,3
17,210.6,3
24,1390.5,3
19,712.5,3
28,640.83,3
313,5840.4,1
15,216.02,3
10,140.35,3
105,1848.98,3
128,2601.55,3
78,1624.21,3
154,3520.46,1
29,582.6,3
73,214.27,3
67,1006.8,3
53,646.41,3
46,1269.1,3
10,534.24,3
103,3794.49,1
12,196.89,3
165,3378.26,1
53,280.31,3
13,296.64,3
61,1086.89,3
197,3439.57,1
19,291.88,3
71,2043.72,3
435,2875.7,3
2,590,3
17,356.98,3
52,993.85,3
64,1732.78,3
391,9473.12,1
17,183.44,3
27,1445,3
10,143.25,3
41,674.68,3
18,297.95,3
99,1083.71,3
298,5538.95,1
10,165,3
255,2517.34,3
22,417.54,3
60,224.14,3
86,1431.78,3
61,1092.77,3
81,1441.53,3
16,291,3
111,1771.77,3
11,184.64,3
10,140.34,3
8,313.8,3
23,454.24,3
69,1122.41,3
34,575.4,3
424,8874.37,1
14,449.52,3
82,1176.46,3
50,1269.84,3
8,618.63,3
18,316.26,3
52,1990.12,3
35,605.18,3
20,321.05,3
45,1146.96,3
67,1136.77,3
53,1310.47,3
18,292,3
17,216.85,3
22,295.93,3
227,4282.88,1
29,452.82,3
162,2479.16,3
12,110.97,3
44,979.72,3
112,1759.96,3
15,251.21,3
10,205.1,3
4,152.2,3
56,844.32,3
44,1389.41,3
139,2072.83,3
38,659.44,3
9,110.8,3
95,3487.75,1
434,1090.96,3
5,125.8,3
174,3684.73,1
27,680.18,3
6,628.78,3
224,2263.76,3
15,307.76,3
22,483.8,3
65,207.36,3
74,269.49,3
342,5613.08,1
179,3448.29,1
25,1280.85,3
38,605.84,3
87,291.41,3
98,626.99,3
124,682.41,3
52,916.12,3
4,91.8,3
121,3539.53,1
136,4149.28,1
34,584.06,3
175,605.06,3
33,174.37,3
14,141.86,3
82,1799.33,3
48,776.88,3
82,605.94,3
37,238.27,3
176,874.71,3
42,181,3
83,363.76,3
27,239.49,3
341,2092.32,3
33,1384.25,3
26,294.4,3
46,732.07,3
130,6703.3,1
85,1658.3,3
23,467.04,3
10,118,3
53,781.03,3
24,142.4,3
11,347,3
176,2416.32,3
21,379.65,3
89,1976.12,3
58,1117.13,3
16,247.96,3
129,1990.28,3
26,396.97,3
166,697.04,3
41,167.42,3
260,4993.16,1
19,219.52,3
96,678.56,3
23,428.89,3
27,164.34,3
43,280.54,3
97,670.51,3
225,1106.43,3
70,1099.7,3
198,1587.81,3
24,399.99,3
44,544.18,3
12,163.66,3
19,213.85,3
86,672.44,3
19,257.23,3
94,1624.02,3
59,7792.36,1
80,1995.68,3
12,3021.77,3
147,2117.02,3
188,1575.16,3
62,1071.03,3
64,941.62,3
96,800.1,3
8,122.64,3
40,1033.34,3
64,352.85,3
28,519.44,3
147,2584.92,3
5,252.1,3
80,1670.22,3
23,346.6,3
98,1809.34,3
6,94.2,3
61,1063.88,3
162,2669.17,3
56,932.97,3
49,379.65,3
16,382.14,3
112,2421.47,3
106,1539.06,3
58,879.08,3
13,189.47,3
12,84.65,3
87,305.02,3
497,6175.57,1
9,218.55,3
25,349.7,3
16,-71.46,3
65,396.92,3
25,486.82,3
16,232.6,3
216,2202.31,3
57,827.83,3
3,59.5,3
31,64.23,3
39,3119.44,3
8,72,3
6,910,3
9,172.25,3
55,1466.87,3
4,-32,3
577,62405.7,4
90,2504.13,3
12,151.3,3
14,308.58,3
194,2244.54,3
1,99.5,3
135,2295.31,3
28,711.86,3
20,330.79,3
48,806.41,3
50,291.93,3
342,6204.29,1
8,180.48,3
13,252.06,3
10,228.84,3
106,1041.19,3
20,132.43,3
103,1432.26,3
12,306.55,3
60,1041.68,3
43,799.9,3
28,524.14,3
86,2369.16,3
6,199.85,3
117,1790.01,3
42,1079.66,3
20,333.48,3
63,1016.14,3
43,752.6,3
38,610.59,3
33,491.86,3
203,2744.83,3
188,708.2,3
30,339.6,3
3,216.9,3
23,350.75,3
35,666.33,3
318,3081.94,3
42,1340.15,3
72,1156.36,3
25,276.42,3
1,79.6,3
28,948.25,3
24,1647.26,3
9,296.25,3
76,1186.28,3
35,741.26,3
12,282.6,3
336,2147.62,3
142,5130,1
117,3190.55,3
25,659.41,3
54,275.85,3
70,1070.65,3
14,4.26326e-14,3
17,1689.46,3
201,1486.54,3
399,16945.7,0
143,2771.87,3
120,2631.7,3
177,1132.13,3
22,345,3
219,25748.3,0
9,178.7,3
57,360.01,3
17,127.84,3
115,912,3
31,2462.79,3
7,230.4,3
31,309.04,3
45,348.8,3
17,1047.68,3
13,195.55,3
437,36111.4,0
39,688.86,3
33,558.32,3
23,324.8,3
65,3882.87,1
17,277.07,3
137,2635.79,3
13,924.6,3
10,256.38,3
7,112.6,3
76,1747.66,3
12,155.05,3
35,894.47,3
14,591.75,3
36,539,3
70,1333.61,3
57,1522.52,3
176,4009.87,1
33,555.04,3
24,382.98,3
36,1140.35,3
59,385.64,3
96,632,3
39,942.06,3
46,1698.94,3
12,174.65,3
93,412.05,3
15,209.49,3
1,-102,3
74,2202.99,3
4,40.95,3
29,384.8,3
54,825.21,3
19,271.24,3
172,688.13,3
1,85,3
203,3370.5,1
20,361.62,3
9,312.98,3
58,847.61,3
5,1255,3
101,1537.95,3
94,1586.81,3
81,2651.46,3
24,1056.94,3
114,8025.02,1
17,363.4,3
11,216.17,3
28,201.16,3
77,1240,3
142,2187.31,3
22,299.56,3
30,501.56,3
7,145.67,3
61,1015.29,3
33,3192.54,3
300,3078.3,3
117,2741.05,3
337,6370,1
24,381.7,3
18,540.45,3
102,1762.43,3
6,98.9,3
3,117.24,3
36,1281.53,3
165,3219.77,3
180,16989.5,0
66,1131.28,3
151,2509.05,3
60,781.3,3
28,506.8,3
16,243.56,3
19,349.55,3
40,605.63,3
15,416.9,3
114,1860.86,3
27,632.97,3
21,821.1,3
30,535.97,3
119,2588.12,3
16,293.82,3
12,155.93,3
19,388.52,3
43,740.95,3
149,2867.2,3
26,332.64,3
126,2347.05,3
147,2561.11,3
34,613.95,3
18,272.04,3
30,1212.84,3
33,350.16,3
7,172.25,3
20,351.13,3
137,1682.08,3
45,616.65,3
11,223.85,3
21,348.99,3
27,464.57,3
10,802.85,3
17,337.34,3
59,1230.93,3
16,307.4,3
23,608.79,3
31,922.1,3
27,361.28,3
9,158.85,3
7,71.66,3
46,556.75,3
49,839.14,3
44,4826.01,1
11,561.57,3
5,90.6,3
3,102,3
159,2407.52,3
36,728.56,3
39,674.45,3
135,3156.69,3
20,3515.68,1
30,378.59,3
33,322.96,3
152,1026.42,3
5,-102.45,3
88,590.4,3
12,230.22,3
11,169.55,3
34,656.14,3
2,80.7,3
630,8978.31,1
158,2702.22,3
15,190.25,3
11,264.7,3
28,413.59,3
339,2498.55,3
10,357.98,3
15,196.79,3
54,869.87,3
11,200.14,3
115,1861.11,3
112,2590.46,3
17,488.03,3
353,7024.53,1
13,320.46,3
237,4065.2,1
41,1266.08,3
16,311.3,3
86,850.63,3
5,76.8,3
123,3370.06,1
153,2303.06,3
85,1352.29,3
212,3865.26,1
1,3,3
1,1,3
1,32,3
16,633.71,3
40,2030.33,3
47,529.73,3
171,4582.64,1
83,2864.72,3
30,962.19,3
44,685.93,3
11,328.8,3
34,473.02,3
39,505.18,3
20,917.34,3
157,4274.04,1
68,1398.96,3
39,642.8,3
22,631.9,3
28,440,3
31,584.07,3
16,327.7,3
6,104.82,3
15,467.66,3
237,2326.37,3
258,14634.6,0
151,2924.8,3
92,512.02,3
66,1428.02,3
38,626.65,3
28,147.2,3
93,1554.48,3
6,152.2,3
240,3528.69,1
21,141.41,3
208,647.87,3
6,1659.75,3
14,154.99,3
34,1290.01,3
86,370.93,3
500,5627.12,1
54,746.36,3
215,15477.3,0
56,225.36,3
4,260.25,3
6,92.46,3
10,725.64,3
1126,8114.32,1
290,6137.32,1
8,183.6,3
199,6105.14,1
111,10464.9,1
82,1188.32,3
7,152.55,3
52,374.7,3
24,265.85,3
327,1293.27,3
14,139.54,3
43,942.26,3
46,122.47,3
42,499.42,3
65,1049.37,3
12,375.1,3
4,45.6,3
152,900.12,3
29,182.25,3
178,1007.07,3
449,4415.63,1
70,181.67,3
584,49771.7,4
14,161,3
1,76.32,3
217,4063.1,1
105,442.85,3
5044,56581.1,4
21,147.35,3
249,3056.25,3
26,194.9,3
35,5976.79,1
84,1314.73,3
21,216.21,3
75,1255.29,3
121,2640,3
35,594.16,3
14,80.2,3
157,5669.65,1
11,688.6,3
173,2774.17,3
40,1377.92,3
15,386.53,3
72,1382.74,3
3,90,3
1,-19.9,3
161,2740.3,3
5,419.58,3
166,2735.39,3
16,643.63,3
44,709.71,3
44,627.42,3
52,1123.86,3
67,483.86,3
201,3580.13,1
30,590.34,3
133,4679.81,1
47,982.38,3
26,415.82,3
67,920.05,3
46,879.03,3
22,311.81,3
7,115.8,3
12,3148.2,3
245,2949.57,3
6,468.4,3
3,157.2,3
40,259.43,3
26,658.64,3
50,611.09,3
52,1345.62,3
6,118.75,3
1412,112811,4
47,397.48,3
41,507.66,3
1207,4665.15,1
108,1110.52,3
25,289.36,3
52,2445.91,3
29,1631.77,3
24,109.79,3
52,574.84,3
54,353.13,3
29,450.84,3
26,134.46,3
164,3108.06,3
31,560.5,3
43,554.46,3
326,1618.65,3
162,713.28,3
234,4462.77,1
24,452.89,3
3,197.65,3
71,2018.91,3
275,4569.27,1
262,4630.01,1
42,853.39,3
603,11087.7,1
8,962.7,3
6,335.52,3
44,663.5,3
2,185.4,3
39,688.04,3
44,161.03,3
39,218.78,3
21,308.26,3
10,151.74,3
88,2067.13,3
98,1831.89,3
118,2208.3,3
9,1070.48,3
5,-1192.2,3
70,1000.23,3
107,1759.2,3
59,1839.3,3
107,1925.36,3
12,169.48,3
7,89.94,3
21,632.4,3
188,3384.95,1
41,683.17,3
61,975.23,3
117,1048.47,3
73,2201.64,3
183,3315.71,1
43,1450.6,3
54,822.06,3
116,2026.23,3
34,1388.11,3
157,766.67,3
79,3083.36,3
15,490.86,3
9,161,3
8,146.85,3
116,2323.5,3
42,890.34,3
10,213.7,3
16,280.55,3
146,2500.78,3
111,1667.48,3
75,1474.06,3
20,136.77,3
7,289.08,3
111,1904.05,3
78,2879.7,3
54,935.06,3
106,3082.23,3
112,12650.1,1
5,120,3
52,1163.45,3
143,2618.23,3
19,319.47,3
31,530.18,3
66,1279.09,3
29,492.65,3
8,102.24,3
32,428.6,3
29,559.97,3
75,1019.39,3
228,3957,1
8,134.04,3
156,3729.34,1
34,578.45,3
27,1910.01,3
275,4514.45,1
11,151.23,3
17,413.85,3
47,911.26,3
103,2307.45,3
238,3873.3,1
108,4819.33,1
60,1041.52,3
7,154.7,3
64,1284.06,3
1604,49889.5,4
161,2850.31,3
3,43.2,3
16,632.04,3
27,197.1,3
109,1798.72,3
35,2083.42,3
180,2995.72,3
123,2319.68,3
27,229.71,3
86,1601.59,3
8,120,3
104,2456.98,3
24,508.58,3
42,343.11,3
119,1506.27,3
41,574.26,3
9,166.85,3
12,311.65,3
268,4908.94,1
28,462.66,3
26,866.31,3
19,351.45,3
155,2406.26,3
63,468.26,3
90,1614.91,3
34,554.22,3
18,289.91,3
6,134.7,3
125,2137.73,3
24,607.71,3
71,889.93,3
6,108.98,3
60,1021.58,3
18,409.57,3
31,133.5,3
21,258.7,3
1,51,3
47,1078.96,3
6,90.6,3
9,163.62,3
11,174.4,3
38,666.94,3
41,225.77,3
58,882.58,3
118,2128.23,3
41,161.2,3
69,3717.35,1
533,9167.82,1
8,155,3
4,100.5,3
4,76.55,3
75,257.68,3
11,617.05,3
45,343.06,3
56,202.68,3
127,610.08,3
59,1247.69,3
14,202.11,3
7,142.4,3
140,1770.56,3
191,3172.04,3
62,999.72,3
290,4587.43,1
5,67.95,3
344,3425.76,1
72,486.69,3
95,2556.68,3
25,544.1,3
181,4007.88,1
26,1426.31,3
103,1434.07,3
8,156.75,3
76,2111.08,3
105,2587.81,3
55,1908.25,3
285,572.1,3
14,1063,3
45,761.33,3
23,122.7,3
95,1443.01,3
612,5811.56,1
14,490.22,3
122,1922.85,3
206,1058.06,3
30,385.87,3
27,813.11,3
221,4233.64,1
3,265.2,3
1,322.08,3
260,3918.9,1
17,363.34,3
148,1230.14,3
20,385.01,3
380,2247.91,3
12,1372.8,3
9,89.06,3
6,-43.4,3
9,131.9,3
31,2595.54,3
55,2357.68,3
59,1545.14,3
68,1544.62,3
98,1400.88,3
293,1039.58,3
70,1163.23,3
20,375.35,3
255,899.3,3
39,482.6,3
108,658.39,3
62,264.44,3
22,119.93,3
967,3005.97,3
4,113.64,3
37,1837.92,3
15,308.46,3
176,2092.66,3
244,1963.3,3
6,529.62,3
130,1058.62,3
72,2272.4,3
90,598.76,3
43,461.19,3
280,1926.34,3
7,234.34,3
30,537.71,3
47,799.82,3
19,215.7,3
11,1307.81,3
18,316.25,3
13,279.05,3
30,636.51,3
144,2068.15,3
10,129.2,3
14,321.92,3
47,165.75,3
145,1183.58,3
49,1047.43,3
30,463.38,3
17,340.93,3
123,2362.84,3
7,139.56,3
6,123.8,3
19,538.81,3
31,457.47,3
193,1957.32,3
193,814.67,3
7,356.85,3
12,190.31,3
627,2323.96,3
164,3543.26,1
102,665.62,3
798,5786.94,1
316,2012.17,3
94,1327.56,3
57,276.42,3
71,1267.41,3
23,275.28,3
18,438.49,3
73,1055.35,3
101,2102.09,3
18,330.45,3
16,174.37,3
4,270.6,3
17,974.54,3
12,241.09,3
202,1866.83,3
298,4221.37,1
1002,7660.53,1
18,364.22,3
229,620.04,3
216,2925.91,3
64,932.85,3
65,1812.62,3
553,4063.4,1
332,2836.89,3
19,171.8,3
10,355.56,3
19,388.25,3
32,537.48,3
76,996.26,3
111,1461.65,3
5,103.25,3
105,2881.52,3
114,2024.45,3
415,2483.12,3
361,3903.91,1
